millis,target_rpm,rpm,error,p_term,i_term,output,sat
46099,100,102.96,-2.96,-1.18,83.08,81,0
46299,100,102.48,-2.48,-0.99,82.93,81,0
46499,100,102.84,-2.84,-1.14,82.76,81,0
46699,100,102.36,-2.36,-0.94,82.62,81,0
46899,100,102.24,-2.24,-0.90,82.48,81,0
47099,100,102.96,-2.96,-1.18,82.31,81,0
47299,100,102.24,-2.24,-0.90,82.17,81,0
47499,100,102.48,-2.48,-0.99,82.02,81,0
47699,0,92.28,-92.28,0.00,0.00,0,0
47899,0,55.08,-55.08,0.00,0.00,0,0
48099,0,23.52,-23.52,0.00,0.00,0,0
48299,0,1.92,-1.92,0.00,0.00,0,0
48499,0,0.00,0.00,0.00,0.00,0,0
48699,0,0.00,0.00,0.00,0.00,0,0
48899,0,0.00,0.00,0.00,0.00,0,0
49099,0,0.00,0.00,0.00,0.00,0,0
49299,0,0.00,0.00,0.00,0.00,0,0
49499,0,0.00,0.00,0.00,0.00,0,0
49699,0,0.00,0.00,0.00,0.00,0,0
49899,0,0.00,0.00,0.00,0.00,0,0
50099,0,0.00,0.00,0.00,0.00,0,0
50299,0,0.00,0.00,0.00,0.00,0,0
